product_id,branch_id,product_name,category,stock_quantity,unit_price
5899,3,Rather,Accessories,456,258.64
4364,3,Home,Electronics,416,172.21
1124,3,Grow,Accessories,244,55.06
2985,3,Or,Groceries,310,261.76
1288,3,Long,Accessories,208,13.46
8325,3,Be,Clothing,7,281.77
5337,3,No,Electronics,265,203.71
2616,3,Possible,Groceries,175,219.47
3060,3,Education,Accessories,207,191.08
8339,3,Ok,Clothing,442,15.04
7963,3,Avoid,Accessories,349,127.52
4851,3,Baby,Groceries,16,283.99
1198,3,Old,Accessories,187,262.53
2070,3,Talk,Groceries,221,209.93
4682,3,Process,Furniture,199,279.84
6271,3,Painting,Groceries,348,15.46
7422,3,Material,Groceries,374,173.49
9888,3,Few,Accessories,472,51.21
3584,3,Sense,Clothing,469,35.22
4111,3,Evidence,Clothing,368,144.54
2419,3,Nice,Furniture,46,33.38
1379,3,Tree,Electronics,218,77.26
2189,3,Strong,Furniture,208,88.77
3449,3,Put,Electronics,482,283.91
9640,3,New,Groceries,379,81.38
1159,3,Talk,Furniture,306,74.41
1368,3,Economy,Electronics,130,294.71
7727,3,Last,Clothing,397,206.74
7450,3,Ten,Clothing,40,206.13
7822,3,Response,Furniture,68,236.28
3361,3,Establish,Furniture,288,260.57
4729,3,Walk,Clothing,316,199.98
9088,3,Major,Electronics,188,56.68
3672,3,Nice,Electronics,445,242.04
2456,3,Food,Groceries,169,34.53
8328,3,Already,Furniture,439,67.32
9069,3,What,Groceries,2,133.31
8169,3,Newspaper,Clothing,147,156.87
4907,3,Point,Electronics,155,117.33
4780,3,Front,Clothing,97,214.19
9522,3,Since,Electronics,329,280.29
5533,3,Turn,Electronics,236,71.61
5212,3,Particularly,Furniture,276,298.36
6944,3,Would,Furniture,224,289.29
3731,3,Meet,Clothing,134,57.28
1183,3,Indicate,Electronics,21,162.94
5084,3,Tax,Accessories,72,258.93
2448,3,Model,Furniture,420,57.46
7285,3,Section,Electronics,28,86.91
1428,3,Exactly,Furniture,200,102.45
4816,3,Section,Groceries,398,134.67
9073,3,Senior,Accessories,221,86.36
9660,3,Still,Groceries,288,47.37
3556,3,Guess,Clothing,81,116.53
1346,3,Much,Accessories,449,154.36
6401,3,Again,Furniture,497,247.12
3087,3,Catch,Groceries,475,174.95
7314,3,Thus,Accessories,458,83.27
4771,3,Natural,Clothing,56,203.95
9554,3,Situation,Clothing,142,270.92
2771,3,Generation,Clothing,13,244.57
2966,3,Want,Electronics,60,201.55
1396,3,Mr,Groceries,474,166.14
7603,3,Suddenly,Electronics,198,71.76
7169,3,These,Groceries,371,243.12
9444,3,Player,Electronics,495,187.71
2686,3,Continue,Electronics,274,14.31
1072,3,And,Electronics,181,242.69
9990,3,Cultural,Clothing,489,251.17
7196,3,Safe,Groceries,487,274.23
7238,3,Ball,Clothing,441,272.09
7236,3,Though,Groceries,107,223.11
2002,3,Human,Furniture,133,37.24
2726,3,These,Furniture,182,85.29
2204,3,Oil,Furniture,272,102.83
8411,3,Significant,Accessories,417,175.91
3075,3,Order,Accessories,17,53.99
1527,3,The,Clothing,237,94.34
9791,3,Only,Accessories,123,130.42
5909,3,Build,Groceries,82,21.01
1374,3,Medical,Accessories,74,186.66
4894,3,Nearly,Electronics,24,279.96
7617,3,Style,Accessories,316,81.12
2814,3,Some,Accessories,375,288.82
6835,3,Minute,Furniture,247,90.37
8207,3,Establish,Accessories,60,237.06
5067,3,Future,Accessories,115,270.37
7362,3,Voice,Electronics,201,171.22
5913,3,Blood,Electronics,78,25.39
3319,3,Point,Electronics,154,87.8
9168,3,Lawyer,Furniture,202,108.1
9228,3,Evening,Furniture,461,25.14
9702,3,Treatment,Furniture,154,93.31
7937,3,Sure,Accessories,350,192.17
3734,3,Leave,Accessories,407,210.22
8919,3,Build,Furniture,326,249.47
7346,3,Whose,Furniture,121,186.95
1542,3,Peace,Clothing,287,280.69
3331,3,Scene,Accessories,425,282.24
2549,3,Because,Groceries,79,290.32
6288,3,Culture,Clothing,163,213.43
4643,3,Admit,Furniture,318,195.41
3812,3,Stuff,Groceries,216,88.12
9441,3,Third,Electronics,461,201.62
6639,3,Answer,Clothing,79,175.69
3147,3,Long,Electronics,258,280.3
4275,3,Quite,Electronics,427,289.78
3946,3,Dream,Groceries,369,286.87
8041,3,Many,Clothing,393,252.41
6253,3,Cup,Furniture,3,16.93
7278,3,Scientist,Electronics,499,98.33
4570,3,Chair,Furniture,207,196.86
2293,3,How,Clothing,41,210.95
5014,3,True,Furniture,273,172.01
1259,3,Trip,Accessories,44,10.74
4345,3,Bring,Electronics,200,39.49
6561,3,Reach,Clothing,2,212.54
6930,3,Article,Groceries,390,251.62
6221,3,Interesting,Accessories,353,136.19
9662,3,Second,Furniture,361,250.78
6982,3,Edge,Electronics,363,109.48
2722,3,Different,Clothing,113,249.31
3192,3,Send,Furniture,229,48.68
6576,3,Full,Electronics,6,269.99
5822,3,Issue,Electronics,490,194.88
7633,3,Low,Accessories,251,41.43
2674,3,Onto,Accessories,426,108.89
5386,3,Resource,Groceries,296,35.19
7906,3,Such,Accessories,478,177.41
9278,3,Congress,Clothing,263,195.67
1921,3,Poor,Accessories,283,167.69
6325,3,Read,Clothing,165,61.97
7882,3,Television,Accessories,375,96.84
6424,3,Goal,Clothing,272,227.38
4141,3,Have,Electronics,306,275.38
2286,3,Test,Electronics,430,227.94
1262,3,Become,Groceries,378,42.1
7532,3,Or,Electronics,240,50.56
3957,3,Big,Furniture,346,242.17
5109,3,Agreement,Clothing,238,244.05
5226,3,When,Groceries,487,239.83
4403,3,Purpose,Groceries,148,176.27
2757,3,Set,Electronics,266,81.07
4915,3,Around,Accessories,493,32.21
5802,3,Investment,Electronics,462,56.16
4942,3,Black,Groceries,304,222.41
6409,3,Special,Furniture,276,115.66
5537,3,Level,Accessories,31,13.64
4799,3,Foot,Clothing,75,63.78
6754,3,True,Furniture,334,234.06
2072,3,Moment,Accessories,74,95.56
3998,3,Then,Furniture,487,140.62
6478,3,Over,Clothing,247,136.87
3278,3,View,Furniture,478,149.04
2020,3,President,Electronics,315,186.91
9577,3,Enter,Electronics,306,60.57
