product_id,branch_id,product_name,category,stock_quantity,unit_price
5574,1,Reveal,Electronics,81,275.34
7637,1,Administration,Accessories,218,110.43
9228,1,Own,Electronics,448,183.72
9272,1,Trouble,Clothing,154,145.16
2746,1,Ever,Accessories,422,219.57
1821,1,Finally,Accessories,468,54.32
3243,1,Position,Electronics,229,30.6
9431,1,Seek,Electronics,494,274.39
3148,1,Many,Groceries,316,286.94
7285,1,Add,Clothing,453,297.26
3191,1,Wide,Accessories,290,210.15
6678,1,Might,Clothing,405,280.66
5323,1,Himself,Accessories,41,275.16
1689,1,Show,Accessories,207,14.41
5331,1,Particularly,Electronics,491,156.58
1353,1,Month,Furniture,304,212.36
8308,1,Worker,Accessories,317,207.34
2495,1,Night,Furniture,404,99.22
1810,1,No,Groceries,173,142.37
3166,1,History,Electronics,187,221.51
8227,1,Single,Groceries,406,285.18
6415,1,Agent,Groceries,165,41.91
5974,1,Career,Clothing,123,270.81
6554,1,War,Clothing,249,123.01
9556,1,Late,Furniture,327,65.76
7059,1,Never,Groceries,83,73.74
2286,1,Fine,Furniture,495,209.29
7262,1,Among,Accessories,260,152.06
3009,1,Sure,Groceries,350,239.86
9952,1,Travel,Accessories,356,87.78
7727,1,Half,Electronics,468,39.19
5377,1,Send,Accessories,201,283.54
5891,1,Painting,Clothing,205,147.23
2298,1,Information,Groceries,212,77.49
9355,1,Research,Accessories,472,184.67
6884,1,Reveal,Furniture,353,133.68
9319,1,Build,Groceries,12,30.78
4196,1,Thank,Accessories,494,174.99
3870,1,Win,Electronics,319,67.78
4580,1,Against,Furniture,280,69.27
8775,1,Structure,Accessories,344,154.36
9448,1,Deep,Electronics,362,248.05
9319,1,Minute,Accessories,160,30.29
4004,1,Crime,Groceries,4,193.59
4432,1,Eight,Clothing,155,27.2
3171,1,Dream,Accessories,368,69.03
3538,1,Nice,Clothing,461,182.68
8348,1,Land,Electronics,229,196.86
7045,1,Here,Electronics,109,211.46
2322,1,Suddenly,Groceries,422,200.37
5670,1,Model,Accessories,44,158.67
9790,1,Trip,Accessories,178,23.69
1445,1,Sound,Groceries,40,299.51
4714,1,Image,Accessories,272,80.68
5971,1,Learn,Groceries,186,186.11
9652,1,Teach,Furniture,240,236.7
7258,1,Single,Accessories,474,49.15
2019,1,Available,Groceries,299,129.11
5342,1,Relate,Furniture,130,33.88
2327,1,Senior,Groceries,396,194.06
1502,1,Sit,Electronics,142,146.46
1508,1,In,Electronics,376,113.51
5189,1,Resource,Electronics,389,19.91
4312,1,Relationship,Electronics,119,130.23
5753,1,Him,Groceries,385,72.8
7702,1,Traditional,Clothing,361,16.37
5861,1,Produce,Groceries,37,173.76
7882,1,Themselves,Electronics,51,296.06
1817,1,Realize,Electronics,356,103.66
2065,1,Since,Groceries,73,62.59
7400,1,Present,Accessories,318,129.47
4184,1,Republican,Groceries,464,167.91
9461,1,Answer,Electronics,370,104.06
1509,1,Relate,Accessories,63,29.84
8965,1,Surface,Furniture,319,131.68
6704,1,Reflect,Groceries,46,238.88
7238,1,Daughter,Groceries,323,217.05
4017,1,Audience,Furniture,310,279.18
